org_text,clean_text,start_time,signer_id,signer,start,end,file,label,height,fps,end_time,url,text,box,width,video,review,dataset
beer,beer,0.0,20,40,0,59,SignSchool Beer var,805,360.0,29.97,1.969,www.youtube.com/watch?v=wX78EPtSuzU,beer,"[0.04678723216056824, 0.2904092073440552, 1.0, 0.8233144283294678]",640.0,,,test
enjoy,enjoy,0.0,11,39,0,54,enjoy(1),192,360.0,29.97,1.802,www.youtube.com/watch?v=OL02Odh2dRg,enjoy,"[0.07145091891288757, 0.13602498173713684, 1.0, 0.9055149555206299]",480.0,,,test
emotional,emotional,0.0,20,40,0,30,SignSchool Emotional,907,360.0,23.976,1.251,www.youtube.com/watch?v=C59jcSo4fEI,emotional,"[0.059554219245910645, 0.2810196578502655, 1.0, 0.8543376922607422]",640.0,,,test
key,key,0.0,92,-1,0,37,SignSchool Key,456,360.0,23.976,1.543,www.youtube.com/watch?v=Qs2ua1S6tg0,key,"[0.11462894082069397, 0.30898743867874146, 1.0, 0.8275220394134521]",640.0,,,test
bad,bad,0.0,11,39,0,36,BAD,81,360.0,29.97,1.201,www.youtube.com/watch?v=-kgTBeOw95A,bad,"[0.04045349359512329, 0.22047379612922668, 0.9983196258544922, 0.7612627744674683]",480.0,,,test
NEED,need,0.0,67,11,0,68,NEED,29,720.0,29.97,2.269,https://www.youtube.com/watch?v=ieLzL1Sl6SU,need,"[0.013118863105773926, 0.28781014680862427, 1.0, 0.7260844707489014]",1280.0,,,test
build,build,0.0,20,40,0,50,SignSchool Build 2,394,360.0,29.97,1.668,www.youtube.com/watch?v=xiJYYCuA2UA,build,"[0.013172954320907593, 0.19094446301460266, 0.9996300339698792, 0.8890761137008667]",640.0,,,test
subway,subway,0.0,92,-1,0,33,SignSchool Subway,886,360.0,23.976,1.376,www.youtube.com/watch?v=qSOspusLa3U,subway,"[0.09784886240959167, 0.3284299373626709, 1.0, 0.7650768160820007]",640.0,,,test
pull,pull,0.0,92,43,0,32,SignSchool Pull(1),672,360.0,23.976,1.335,www.youtube.com/watch?v=78bHeANdyYc,pull,"[0.10073888301849365, 0.19051924347877502, 1.0, 0.7819823622703552]",640.0,,,test
happy,happy,0.0,11,39,0,46,HAPPY,5,360.0,29.97,1.535,www.youtube.com/watch?v=deGERv54kIc,happy,"[0.049813270568847656, 0.20324450731277466, 0.9973698854446411, 0.7592414021492004]",480.0,,,test
government,government,0.0,11,39,0,47,GOVERNMENT(1),304,360.0,29.97,1.568,www.youtube.com/watch?v=ZcFkE7qjmcc,government,"[0.050273239612579346, 0.1783064603805542, 0.9999245405197144, 0.7750533223152161]",480.0,,,test
measure,measure,0.0,11,39,0,43,MEASURE,651,360.0,29.97,1.435,www.youtube.com/watch?v=a1NeXe8bhuo,measure,"[0.09916919469833374, 0.2179076373577118, 1.0, 0.7903347015380859]",480.0,,,test
win,win,0.0,11,39,0,48,WIN(2),451,360.0,29.97,1.602,www.youtube.com/watch?v=2vYnEG9tSuA,win,"[0.0489061176776886, 0.214802086353302, 0.999640941619873, 0.7637028694152832]",480.0,,,test
surfing,surfing,0.0,92,43,0,34,SignSchool Surfing Skateboard,595,360.0,23.976,1.418,www.youtube.com/watch?v=e22Pc68i_VE,surfing,"[0.14760637283325195, 0.3333585858345032, 1.0, 0.7734302282333374]",640.0,,,test
newspaper,newspaper,0.0,11,39,0,55,newspaper(1),243,360.0,29.97,1.835,www.youtube.com/watch?v=OdJuIwj6iYY,newspaper,"[0.07968586683273315, 0.19085296988487244, 1.0, 0.7507126331329346]",480.0,,,test
salad,salad,0.0,11,39,0,41,SALAD,303,360.0,29.97,1.368,www.youtube.com/watch?v=BBCixbI_6C4,salad,"[0.07785937190055847, 0.15979889035224915, 1.0, 0.7909663319587708]",540.0,,,test
sorry,sorry,0.0,11,39,0,57,SORRY,89,360.0,29.97,1.902,www.youtube.com/watch?v=BL90-ejIQ9Y,sorry,"[0.11051064729690552, 0.20260781049728394, 1.0, 0.7728017568588257]",480.0,,,test
CASHIER,cashier,35.769,9,-1,1072,1200,Community Job Signs,996,360.0,29.97,40.04,https://www.youtube.com/watch?v=G77ZoILMYw4,cashier,"[0.01247107982635498, 0.1483159065246582, 1.0, 0.8211827278137207]",640.0,/mnt/d/ASL/videos/G77ZoILMYw4.mkv,,test
BOTH,both,29.496,10,26,884,1025,Lesson 7 Vocabulary - A Basic Course (ABC) in ASL,766,720.0,29.97,34.201,https://www.youtube.com/watch?v=cNtU2UH-2Rk,both,"[0.3012547194957733, 0.3188616633415222, 0.9657706022262573, 0.677647590637207]",1280.0,/mnt/d/ASL/videos/cNtU2UH-2Rk.mkv,1.0,test
learn,learn,0.0,11,39,0,46,LEARN(2),22,360.0,29.97,1.535,www.youtube.com/watch?v=TSQinun_K8U,learn,"[0.04521584510803223, 0.18744415044784546, 0.9978536367416382, 0.7658100128173828]",480.0,,,test
have,have,0.0,92,43,0,44,SignSchool Have,111,360.0,29.97,1.468,www.youtube.com/watch?v=5EEsTqgJ6dw,have,"[0.05980256199836731, 0.31388890743255615, 1.0, 0.8556350469589233]",640.0,,,test
ugly,ugly,0.0,20,40,0,32,SignSchool Ugly,199,360.0,23.976,1.335,www.youtube.com/watch?v=1STGpqjEYls,ugly,"[0.06749358773231506, 0.2589924931526184, 1.0, 0.8471766710281372]",640.0,,,test
government,government,0.0,20,40,0,39,SignSchool Government,304,360.0,29.97,1.301,www.youtube.com/watch?v=IBDl4aXPFgM,government,"[0.061495810747146606, 0.28449615836143494, 1.0, 0.8507992625236511]",640.0,,,test
strange,strange,0.0,11,39,0,48,STRANGE,326,360.0,29.97,1.602,www.youtube.com/watch?v=gEfo5LLWNmw,strange,"[0.09931138157844543, 0.21343398094177246, 1.0, 0.7543075084686279]",480.0,,,test
MEETING,meeting,0.0,67,13,0,95,MEETING,407,720.0,15.0,6.333,https://www.youtube.com/watch?v=MKMoVapmIYU,meeting,"[0.0283658504486084, 0.15884354710578918, 1.0, 0.803860068321228]",1280.0,,,test
serious,serious,0.0,20,-1,0,33,SignSchool Serious,892,360.0,23.976,1.376,www.youtube.com/watch?v=NNt7UyfPCYs,serious,"[0.06595692038536072, 0.3718440532684326, 1.0, 0.8505088686943054]",640.0,,,test
